marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
Hyundai;Tucson;23990;2021;37943;essence;2162306;33520
Renault;Captur;28489;2023;5668;essence;160;57100
Renault;Megane;24990;2021;50757;essence;115;71000
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
